Date,HE,PGE,SCE,SDGE,VEA,CAISO Total
2020-09-20,300,271436.1590440538,289304.1889496528,56753.83226318359,1505.9954300393,619000.1662131896
2020-09-21,300,293895.7041241784,313273.2015019828,59524.74539996918,1635.5586001652505,668329.2425438075
2020-09-22,300,292933.609049024,317382.09275429585,60265.144838217384,1650.1053692001938,672230.9449322296
2020-09-23,300,295326.2453342014,314678.96355685766,61272.35966796875,1578.186663678487,672855.7432785145
2020-09-24,300,302570.99539691966,319372.3781214245,61322.61113730911,1590.1380113232012,684856.0894196739
2020-09-25,300,287009.8273803928,307454.22756710835,58340.7829869584,1491.6200765141966,654296.5109446116
2020-09-26,300,282274.88724527555,283822.7941303747,53613.470872141675,1450.531301707728,621161.6891297743
2020-09-27,300,291359.8380761719,283755.7285123698,52676.35538180881,1439.4785217666627,629231.4001755287
2020-09-28,300,329944.4915281449,334732.00536394643,61380.122026277684,1474.3391494278656,727530.9770395132
2020-09-29,300,317318.2160441499,352469.3188718867,67246.03156261612,1456.4336818558766,738490.0000531684
2020-09-30,300,316532.2243847656,372605.057719184,74381.06388183594,1485.1991426383124,765003.5454955564
2020-10-01,300,324091.0608599995,374795.0658699997,73738.48965099997,1512.48345001,774137.0885009998
2020-10-02,300,315949.03042,362396.61098,71679.43790299998,1450.11191298,751475.1730039996
2020-10-03,300,293010.0670859997,322951.8667799997,63388.28462499997,1385.07194887,680735.0779759993
2020-10-04,300,272389.0884449995,303775.2531419999,61241.05911899997,1374.51935942,638779.9277899996
2020-10-05,300,284279.7729689996,325242.1003499995,66960.21495199997,1428.54628842,677910.6309299998
2020-10-06,300,282011.7737239997,313358.4955649998,62944.80328899994,1415.36527529,659730.4092609993
2020-10-07,300,273017.772616,304769.1344649997,60335.50642999996,1412.8252276899998,639535.2396779996
2020-10-08,300,272507.3103549999,287229.9335019995,56927.241075999955,1397.67005435,618062.1640249994
2020-10-09,300,264848.632915,274242.0067959997,55530.07440899998,1289.36221363,595910.0684989997
2020-10-10,300,253323.2909109997,256772.6387969999,52060.86532199998,1206.8059949999997,563363.6164019997
2020-10-11,300,239131.0958989999,250906.95431599996,50683.89959399997,1262.0616921,541984.0077239993
2020-10-12,300,263809.9667379999,308630.52791099995,61609.99005399996,1301.37774968,635351.8611749999
2020-10-13,300,279461.8226379998,330142.7699329997,66031.81548799996,1334.17015202,676970.5806249996
2020-10-14,300,287791.675465,328229.4584849997,63689.85430899998,1344.4903433499999,681055.4738049997
2020-10-15,300,294234.4618109996,332219.4598359999,65041.108915999954,1368.84939209,692863.8865469999
2020-10-16,300,298861.71679999947,333505.2968499996,64268.98771699996,1261.0901975699996,697897.0902789999
2020-10-17,300,277330.1524519998,294591.1031629999,56964.28842699997,1180.8912819099999,630066.4221029996
2020-10-18,300,258907.94703099987,274954.01794699987,54543.33590299997,1207.31085894,589612.5932819997
2020-10-19,300,276683.1898069997,296142.347918,58158.90860999997,1272.81453477,632257.2009209996
2020-10-20,300,274717.6078719997,290688.7502019998,55963.31391899998,1266.36909011,622636.0208359994
2020-10-21,300,274625.1794589997,284560.5319389998,55833.84230599998,1237.59282672,616257.1360859994
2020-10-22,300,262336.4893149998,278853.4573619998,54672.28088899996,1228.98161729,597091.1364669998
2020-10-23,300,256638.41996399988,271326.5344939997,54357.09168199999,1141.6482905,583463.6730229995
2020-10-24,300,243383.1880479999,247382.323189,51426.88577599997,1108.8444994299998,543301.2175409996
2020-10-25,300,232789.14102299997,232120.23833099988,50053.07019799998,1108.5450558799998,516070.9785469998
2020-10-26,300,239861.1216099999,241642.9043709999,49490.95235499996,1448.1924855,532443.1844849995
2020-10-27,300,245625.4941759999,246177.5365469998,48108.09753799996,1334.795542,541245.9048989996
2020-10-28,300,250013.9596239996,249277.244013,49566.18911799997,1285.4764214,550142.8797429998
2020-10-29,300,254659.929277,255378.2315239998,50953.368962,1261.21389271,562252.7321729998
2020-10-30,300,252036.2724829998,255158.9600669999,50775.20428999997,1203.61489341,559174.0500169994
2020-10-31,300,234751.72246499997,236163.91118799968,47653.29758499998,1174.92888651,519743.8295459997
2020-11-01,301,237771.43068999998,241800.43461499969,50249.17109499997,1173.01558988,530994.0637549997
